钱包,总利润,总盈亏,买入次数,卖出次数,买入金额,卖出金额
0x40e56fa7759c1bdc67764fcd76c8ee7bc9486c08,16228.024347051823,7.209616448072505,4,38,2250.8859471144815,-22454.59048958377
0x480b61920c6a6044a8527e096c388c81d5c142e5,14579.507903054182,143.6945784372839,1,7,101.46178138110805,-14687.398845763963
0xdbc1edacd4420f2ba2ff786c9065b0267990ddf2,10069.173602304194,99.2410488461974,1,6,101.46178138352084,-10176.756971992954
0x8d73a36d78e2ae4a437053c9ce3be70d483ab74d,8344.181183112381,0.57373014192429,9,13,14543.738551239458,-22888.07325110517
0x9d0499cac50ab469b8de82ee40cb1a277631d4a7,4794.6357478473765,0.6040563134496463,97,6,7937.398618460188,-8018.092810651663
0x880fcc236bf42d5035bf583dfe2b07dbceb53759,6312.313514371174,3.114894727337158,2,5,2026.4933703770482,-8340.097979771002
0xb0d7dd69695a21c22865c4e8c46078c6d0991ecb,6221.484184568057,4.707220352569547,3,9,1321.6895999295875,-7561.730972702735
0x66dad84ca18a6354a5c24dbb9e7627a960b62777,6170.13796277164,60.81243477399028,1,6,101.46178138900355,-6277.701933194654
0x4cb3562fefd71ff5b60be98349443ab325777777,5629.1745813412845,3.550461026934138,4,5,1585.4770799166154,-7214.8214913022175
0x645e74582ea2a761cfd1849c1b6a57d95ba507d0,5333.160081389067,2.4082664563225706,3,8,2214.5224285242994,-7547.939751790314
0x904a5d05d72a0575c6a60f7de7566abc2ac331e2,5180.927660916884,1.1757440458776918,3,8,4406.509800395652,-9588.756451909227
0x57af69b7ed14aef64d2ca822e9ed3ace4751f622,4687.143900848363,8.829810199054624,1,2,530.8317840569437,-5218.287210725271
0x4607258387d86653f8513728d69efd9b23978c81,4390.661284939833,4.983578840950541,2,6,881.0257497807304,-5272.479768189726
0xc2c6acd377458010713e733e1b21dd6f670d091c,4263.145264894488,4.8382721222826,1,7,881.1297002623369,-5145.444514016666
0x96a51f7ad997f68c94c19c356fa5247c48b4d867,4228.691574774682,15.99669547048191,1,7,264.3478199968065,-4500.102237540358
0x3c5083022114ea14fb3d8d06f5931c629c2bedd6,4613.613454764402,1.0470653443019535,2,4,4406.2326003542385,-6588.6668615983
0xf49578bde2a934e3af7e1c717fb0c55d12c836c3,4139.717765953188,1.14501504049864,6,12,3615.4265398560988,-7759.956817859691
0x5006ce81ee0ab7436534832a4c3288929447372b,4106.22261657805,3.586787086910666,4,19,1144.8191702158656,-5269.723325482502
0x34a517b2613aa140cb51ac40f8809e9fedc18774,3884.3206031567124,8.728418056716272,1,26,445.0199999492276,-4329.8617178666655
